frame_start	frame_end	Midbrain	Pons	Medulla	SCP
0	30	0.00892	1.87929	2.21646	0.2672
30	60	651.09066	543.93368	469.23032	511.26318
60	90	1684.93572	1567.0202	1372.80379	1355.61755
90	120	2664.96731	2627.40075	2362.43188	2090.27409
120	150	3662.25029	2895.6617	2985.08066	3566.94077
150	180	3277.37663	3178.2269	2727.03313	3001.14848
180	240	3449.03456	2887.72273	2828.28716	2758.39419
240	300	2871.0777	2775.66096	2279.70059	2479.40702
300	360	2969.5331	2728.32594	2538.74019	3032.77975
360	480	2888.15117	2696.29181	2468.05435	2261.90415
480	600	2659.33449	2525.99682	2370.563	1743.55397
600	900	2704.85691	2375.28377	2263.78113	2035.29311
900	1200	2247.46341	2150.60822	2012.34745	1709.13074
1200	1500	2143.78186	1903.91927	1878.99454	1672.13796
1500	1800	1864.07048	1763.23083	1685.41656	1181.32681
1800	2100	1749.23436	1610.06973	1690.99144	1161.87256
2100	2400	1597.56659	1556.84351	1641.17222	1139.38113
2400	2700	1544.29963	1517.41076	1455.00207	1092.09929
2700	3000	1432.84886	1439.93753	1305.27224	1024.79606
3000	3300	1282.6607	1375.24945	1352.47801	1086.69071
3300	3600	1259.78293	1335.73396	1438.77883	998.82049
3600	3900	1250.09224	1224.71646	1237.82394	973.93446
3900	4200	1217.63909	1199.83335	1199.69073	897.1538
4200	4500	1261.34137	1173.54795	1189.21028	952.48646
4500	4800	1128.96334	1210.10478	1133.00319	810.56557
4800	5100	1144.65123	1135.65913	1087.96971	930.2713
5100	5400	1077.78562	1163.66455	1060.87451	905.6581
5400	5700	1001.11714	1035.94782	1058.82266	770.91809
5700	6000	1063.90348	997.36681	1009.24506	767.62116
6000	6300	901.53439	1000.60658	971.6565	935.08638
6300	6600	972.95351	971.84936	1112.9935	999.96386
6600	6900	916.05442	942.83996	803.64474	710.92141
6900	7200	1006.25562	971.3341	1000.21063	691.20441
