frame_start	frame_end	Midbrain	Pons	Medulla	SCP
0	30	1.818	1.23795	1.34651	3.23065
30	60	304.18283	303.30587	300.63771	63.57687
60	90	1210.76604	1057.16009	953.29564	1039.86276
90	120	2480.03777	2121.31343	1951.32397	1974.16238
120	150	3392.83009	2927.44	2821.53194	3214.59588
150	180	3258.70216	3423.80551	3186.40981	3993.06454
180	240	3487.46075	3501.15868	2666.19722	3132.98227
240	300	3652.63146	3468.46819	2814.10633	3449.92774
300	360	3441.87086	3438.90829	3102.75081	3356.18108
360	480	3418.71761	3360.305	2848.78571	3230.05222
480	600	3433.09697	3326.3237	3014.47521	2948.33075
600	900	3374.25407	3349.53685	3091.50985	3090.93257
900	1200	3333.03089	3127.52234	2858.47605	2850.76001
1200	1500	3023.90422	2994.7114	2810.5049	2553.76586
1500	1800	2934.80741	2790.13413	2488.83047	2139.45469
1800	2100	2679.45331	2556.28509	2621.70295	2184.77805
2100	2400	2566.97177	2410.64346	2318.01353	2087.22062
2400	2700	2443.88905	2326.70718	2372.27956	1797.40233
2700	3000	2239.66283	2222.77565	2271.15914	1886.60353
3000	3300	2146.79602	2109.00604	2199.05906	1547.85651
3300	3600	1980.0132	1948.14781	2071.17958	1513.51428
3600	3900	1938.43816	1930.90703	2040.04403	1539.07214
3900	4200	1795.24046	1883.57752	1893.6592	1318.71368
4200	4500	1841.64665	1856.40572	1946.80219	1364.7171
4500	4800	1793.00039	1705.56623	1736.16416	1280.71392
4800	5100	1548.50344	1592.17824	1900.97203	1306.14055
5100	5400	1471.47198	1621.54086	1652.45147	1156.05329
5400	5700	1469.72154	1599.01253	1555.74444	1053.92561
5700	6000	1458.26771	1528.62478	1662.49135	1091.74029
6000	6300	1524.88776	1494.65214	1493.24933	889.66341
6300	6600	1422.93564	1414.06656	1555.37077	1195.81698
6600	6900	1390.20048	1479.55273	1446.51279	1042.74726
6900	7200	1356.91899	1426.84434	1514.62983	1159.46868
