frame_start	frame_end	Midbrain	Pons	Medulla	SCP
0	30	66.71257	56.23032	73.10762	24.09674
30	60	1108.35561	782.33131	782.61579	788.9264
60	90	2333.54271	1849.07061	1769.18164	2041.95403
90	120	3537.33342	3141.98113	3195.94162	4127.97119
120	150	4561.10475	3900.60141	3805.13927	4151.86565
150	180	3887.25959	3637.21339	3827.06474	4056.50858
180	240	3822.58796	3659.89611	3571.4939	4442.11799
240	300	3496.00363	3820.53118	3548.36844	4266.82977
300	360	3560.84936	3388.97834	3273.47907	4037.2019
360	480	3773.65737	3689.45199	3532.46339	4130.15117
480	600	3517.75091	3432.16535	3369.96089	4145.49695
600	900	3265.03713	3325.42583	3293.19195	3285.56039
900	1200	3148.14965	3079.16531	3052.19745	3350.24509
1200	1500	2927.36879	2797.34907	2963.78022	3022.19037
1500	1800	2504.63704	2642.93069	2744.15801	2498.49356
1800	2100	2456.62476	2352.16441	2661.28126	2181.85029
2100	2400	2217.37982	2289.36422	2365.84078	2064.89663
2400	2700	2173.49897	2102.27669	2305.90433	1716.00979
2700	3000	1988.05783	1995.45616	2035.01011	1854.50688
3000	3300	1835.81034	1926.13534	2116.02095	1861.31154
3300	3600	1881.16603	1828.37807	2005.52597	1561.02364
3600	3900	1654.11991	1810.75109	2065.55087	1169.02739
3900	4200	1678.79229	1663.58535	1673.89251	1467.51623
4200	4500	1487.58179	1622.00179	1856.48352	1320.12776
4500	4800	1552.95342	1522.41872	1911.40403	1323.82261
4800	5100	1429.54375	1503.79484	1586.35284	1412.73988
5100	5400	1369.75671	1449.14034	1624.25242	1246.31793
5400	5700	1361.74036	1423.4112	1364.63206	1175.76929
5700	6000	1499.63683	1452.34756	1448.31517	1299.53135
6000	6300	1265.74459	1379.18869	1533.94619	1226.87043
6300	6600	1321.25103	1367.32341	1417.85269	1222.54055
6600	6900	1228.77691	1349.47723	1416.53857	1162.86325
6900	7200	1309.47701	1353.43624	1481.21976	1188.61371
