frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
0	30	108.8312	7.91624	117.83548	14.42741	157.60795	87.14101	14.23881	31.65113	41.22693	46.12904	60.03597	24.21277	52.64772	21.78682	33.95506	78.86313	25.45325	5.90654	11.17387	30.96485	28.07987	101.10526	22.35187	5.0279	4.20425	39.25541	35.89068	25.05438	52.37667	14.45294	15.28178	15.0073	27.9144	3.87812	8.6582	2.23895	30.26973	72.72313	25.90547	59.5054	33.30265	4.86071	2.2472	2.41069	6.82996	48.9442
30	60	1317.55549	691.62677	1312.79669	1236.68941	1017.92602	1239.05952	845.2851	986.41117	1295.94322	1392.00178	1207.34028	716.22717	789.64597	979.27119	993.53365	649.26485	911.77539	912.48212	667.7616	915.30162	935.96512	754.92914	709.57914	1699.1216	645.10089	1786.68947	667.61042	1622.30506	1924.4216	911.90076	811.76166	957.45928	1167.21798	2119.57992	1459.00202	294.6174	219.40074	955.65813	1309.59931	1168.91233	1444.35699	1071.6365	890.97909	986.20148	795.75086	787.15685
60	90	2941.97391	2371.20481	3407.47811	1899.0944	2667.02084	2593.72335	1940.58223	3972.95116	2823.8487	3244.20419	3441.63486	2228.35782	1861.94986	2330.63929	2624.83221	1613.15941	2374.00142	2332.60363	1939.17249	2236.10488	2050.89866	1908.30719	1603.39637	2686.48496	2668.77935	3267.75122	1545.67636	2740.33353	3929.53348	1984.05852	3090.09815	1972.4306	2662.89798	3640.94681	2372.61663	1915.78516	1868.84458	2377.35665	3139.81977	3023.46513	2973.32896	1978.42722	2598.31873	1831.37519	1797.50011	2174.00647
90	120	5225.02948	3447.46578	5087.16968	4357.14707	3951.91765	3523.3823	3124.19735	3630.28018	5547.65215	5102.32812	3680.46733	3064.24329	3840.15872	4200.63053	3733.9705	3439.90369	4124.87784	3716.67597	3318.27704	4065.93361	3757.85146	1898.53192	3316.02634	4933.29863	3856.82516	5218.68178	3674.51451	3929.1356	3863.21064	3677.49635	4510.22513	4216.39869	4834.23575	5208.13328	3113.60054	4075.38599	3636.56732	4380.15187	4216.13284	3813.74839	4881.35295	3843.37809	3589.0125	3463.13871	3312.94617	3240.02023
120	150	6713.83191	4813.44565	5599.23869	4755.52353	6924.12189	4862.85753	5150.96041	5105.73578	5914.60056	5674.20162	5953.84506	4636.54742	3860.63203	5025.1623	5216.87986	4426.39365	5093.72276	4965.20355	4934.07947	4821.33588	4512.12428	3699.15344	4120.66774	6667.71751	5519.55554	6369.14042	4826.31293	5935.36711	5373.30606	3691.57003	5037.56102	5739.42727	6333.96634	5947.72929	5137.37035	5794.5166	4360.36408	5296.17179	5199.61067	4231.42472	5587.63329	5180.81571	5320.91807	5417.78447	4733.15268	4260.07082
150	180	5354.63934	5116.58191	5929.89819	6773.01215	4099.65323	3926.23557	4239.98439	4919.207	6176.90038	5933.54196	5589.88622	4874.09351	5194.58316	6126.61399	4573.24434	3968.44158	5080.47138	4695.80439	4710.0863	5033.66503	5396.4496	5017.85742	4600.62012	4871.82218	4690.69889	4869.28338	4422.19081	3701.23185	6968.28993	3419.07305	5014.37329	5822.11449	5723.17789	6350.67377	5028.21178	5017.58008	4381.20229	5626.41929	6233.34057	4853.96825	5298.12678	4222.06503	4840.37163	4881.40909	4693.32423	4465.5186
180	240	5603.33401	4867.31058	5349.46468	5018.87984	5610.50693	5130.7451	4941.45624	3879.10501	7015.36006	6384.99655	4734.55873	4033.93097	3663.98544	6267.25028	4496.02656	4242.41497	5063.41147	4379.91465	4658.80695	4727.43608	4632.8897	2564.10449	3705.71115	5010.34512	4780.70014	5865.39544	6047.17538	4390.266	4489.20626	5268.06705	4884.78117	5618.26997	5873.52358	4505.36706	5001.93835	5391.06396	5084.93616	6428.45253	4138.21724	4759.7387	5012.68518	4257.97271	5087.67261	4428.37156	4589.00191	4807.28262
240	300	4709.13374	4953.78121	6016.15291	5761.63238	4945.23557	4739.18996	3847.32774	3976.78836	5706.97348	5607.13273	5012.70122	4603.37225	5043.34904	5218.11112	4449.01132	3603.00653	4648.18575	3894.64765	5214.03101	4565.69128	4354.08136	3895.73608	3965.21331	4909.75382	4573.94853	4939.97301	4351.24142	4329.79941	5214.54937	4155.14845	4577.2445	5262.96034	4771.15234	4509.58346	3978.09043	5075.30371	3508.65659	5740.68117	5243.15555	4508.34773	5048.47546	4167.02548	4175.27935	4272.06077	4706.24231	5043.55232
300	360	6115.72303	4352.54111	4782.98397	4395.76419	4796.16019	4098.96067	4988.23301	4108.08768	6076.5596	5116.79088	4490.9671	3704.18457	3617.76865	4990.91535	4200.07686	4256.38504	4344.77983	4282.56814	4133.23712	4237.58306	4292.45968	3399.51001	3709.45809	5010.01372	4601.37385	5649.75153	5594.58651	4648.41846	4527.91982	4723.57777	4346.52554	5815.28837	5304.44009	4602.44939	3916.69056	5113.40283	4845.08475	5422.13064	3618.50248	4261.03613	4215.50369	4262.03327	5073.73872	4346.5126	4498.64298	4175.19785
360	480	5036.7078	4044.93055	5084.41284	4984.16272	4160.34557	4127.35999	4270.71404	3912.92896	5402.75371	5127.92254	4260.2368	3154.78979	4178.57263	4357.65608	4256.2066	4076.07706	4389.48507	4166.31275	3485.44214	4362.7671	4341.66888	2865.9679	3802.09392	4398.14338	3689.14316	4401.36802	5070.59578	3509.32539	4477.85489	3738.66482	4603.16302	5341.11273	5081.44894	5319.30214	3482.96997	5028.82031	4399.62243	4780.59958	4458.53285	4419.37989	4255.06194	3932.41703	3325.53784	4379.96098	4512.72816	4407.34917
