index	name	volume-mm3
203	parasubiculum	43.0
211	HATA	55.0
212	fimbria	70.0
215	hippocampal_fissure	116.0
226	HP_tail	595.0
233	presubiculum-head	128.0
234	presubiculum-body	112.0
235	subiculum-head	194.0
236	subiculum-body	269.0
237	CA1-head	620.0
238	CA1-body	160.0
239	CA3-head	121.0
240	CA3-body	118.0
241	CA4-head	142.0
242	CA4-body	121.0
243	GC-ML-DG-head	158.0
244	GC-ML-DG-body	131.0
245	molecular_layer_HP-head	333.0
246	molecular_layer_HP-body	232.0
7001	Lateral-nucleus	634.0
7003	Basal-nucleus	420.0
7005	Central-nucleus	37.0
7006	Medial-nucleus	5.0
7007	Cortical-nucleus	23.0
7008	Accessory-Basal-nucleus	246.0
7009	Corticoamygdaloid-transitio	158.0
7010	Anterior-amygdaloid-area-AAA	32.0
7015	Paralaminar-nucleus	36.0
