frame_start	frame_end	Midbrain	Pons	Medulla	SCP
0	30	4.63347	5.52723	2.28388	0.45206
30	60	674.72126	475.56663	590.55845	244.78021
60	90	1842.18091	1596.33069	1712.17439	1461.7379
90	120	3067.69351	2625.311	2741.28279	3083.51687
120	150	3955.85832	3476.80719	3112.13864	3773.48114
150	180	4209.77919	4276.26538	4042.52904	3213.94222
180	240	3986.49675	3863.20622	3864.19529	3121.96263
240	300	3931.75571	3974.90307	3498.48008	3251.90884
300	360	3829.9343	3893.58831	3622.06393	3773.24917
360	480	3684.64904	3828.7145	3664.17266	2956.39641
480	600	3511.94931	3721.92107	3284.31662	3207.78956
600	900	3440.32888	3467.75316	3317.11907	2566.3723
900	1200	3202.14441	3233.39025	3102.82537	2664.96626
1200	1500	3011.32538	3038.91523	2908.66798	2193.37638
1500	1800	2721.53575	2776.7641	2690.47678	2044.15597
1800	2100	2573.06975	2578.35589	2731.01094	1915.00091
2100	2400	2407.88876	2387.75065	2408.45806	1736.38638
2400	2700	2256.0242	2274.941	2325.77035	1663.64285
2700	3000	2072.0887	2221.53632	2268.27055	1675.44901
3000	3300	2063.16702	2143.10244	2312.99593	1646.25172
3300	3600	1872.27406	2017.41045	2081.93678	1242.33425
3600	3900	1864.35901	1989.21124	2156.11781	1427.62543
3900	4200	1767.66848	1930.012	1942.36381	1352.0397
4200	4500	1560.22193	1758.10398	2013.65276	1157.91598
4500	4800	1681.06417	1713.78885	1797.88647	1065.83075
4800	5100	1631.85114	1673.96646	1926.37094	1206.31506
5100	5400	1599.24172	1592.33998	1780.20784	1304.26232
5400	5700	1479.39249	1646.47144	1738.52062	1271.07266
5700	6000	1443.02621	1532.49307	1683.20452	1163.55574
6000	6300	1391.18393	1484.68132	1592.17179	1045.46333
6300	6600	1333.46467	1555.36859	1705.47694	1132.90035
6600	6900	1262.47063	1494.91096	1522.95956	1027.11149
6900	7200	1279.17871	1500.76684	1571.33202	840.17636
