frame_start	frame_end	Midbrain	Pons	Medulla	SCP
0	30	35.97245	47.70101	82.68218	65.25113
30	60	690.38501	531.45595	624.64731	495.92775
60	90	1141.02097	999.44913	1176.37893	1048.71212
90	120	1815.13908	1497.50615	1384.26625	1165.70415
120	150	1890.08461	1791.67558	1601.75812	1790.40796
150	180	1942.22871	1820.82378	1939.87309	1478.21859
180	240	1725.90006	1664.50262	1788.85878	1838.13985
240	300	1759.42112	1789.95092	1578.51214	1838.55213
300	360	1816.44123	1651.22977	1539.94481	1552.33882
360	480	1722.43234	1627.91905	1499.66513	1407.86903
480	600	1748.5285	1570.61915	1636.0987	1406.01935
600	900	1695.54874	1617.65743	1525.27582	1551.80974
900	1200	1618.04386	1580.90444	1429.22848	1362.25857
1200	1500	1591.38258	1515.55837	1463.62254	1162.2487
1500	1800	1503.09507	1416.62949	1392.03886	1173.02542
1800	2100	1506.97602	1341.52805	1364.00737	1143.68968
2100	2400	1437.54732	1222.22034	1237.18045	1078.54901
2400	2700	1333.19556	1201.83494	1251.22709	985.63704
2700	3000	1272.51173	1122.2948	1152.07614	1117.66127
3000	3300	1280.62816	1178.67119	1172.89252	832.00404
3300	3600	1148.94805	1090.3683	1103.2908	804.44437
3600	3900	1072.19491	1016.13363	1078.9512	842.92154
3900	4200	1189.75745	1056.77775	1079.89636	828.68339
4200	4500	989.20174	992.09678	1073.42963	771.98737
4500	4800	1021.77219	950.15802	984.76831	790.31142
4800	5100	1001.06244	955.92769	854.15904	808.71445
5100	5400	944.3679	896.6678	845.77477	879.13526
5400	5700	922.531	909.39986	766.90886	881.11283
5700	6000	939.58114	855.23175	823.57565	762.58036
6000	6300	850.51853	799.026	784.68294	605.14525
6300	6600	906.41887	897.68815	962.60198	764.02432
6600	6900	867.13838	886.27612	917.53163	667.60893
6900	7200	910.32259	900.74936	859.88364	692.67817
